Surname;Name;SamAccountName;GivenName;DisplayName;AccountPassword;Driveletter;Path
Leon;David;Leon.david;Leon.david;Leon.david;P@ssw0rd;H:;OU=Board,OU=Intranet,DC=intranet,DC=mct,DC=be
Mark;Twix;Mark.Twix;Mark.Twix;Mark.Twix;P@ssw0rd;H:;OU=Board,OU=Intranet,DC=intranet,DC=mct,DC=be
Stephen;George;Stephen.George;Stephen.George;Stephen.George;P@ssw0rd;H:;OU=Board,OU=Intranet,DC=intranet,DC=mct,DC=be
Natalie;Jhon;Natalie.Jhon;Natalie.Jhon;Natalie.Jhon;P@ssw0rd;H:;OU=Board,OU=Intranet,DC=intranet,DC=mct,DC=be
Addison;Soans;Addison.Soans;Addison.Soans;Addison.Soans;P@ssw0rd;H:;OU=Board,OU=Intranet,DC=intranet,DC=mct,DC=be
Mark;Davis;Mark.Davis;Mark.Davis;Mark.Davis;P@ssw0rd;H:;OU=Board,OU=Intranet,DC=intranet,DC=mct,DC=be
Brent;Howson;Brent.Howson;Brent.Howson;Brent.Howson;P@ssw0rd;H:;OU=Board,OU=Intranet,DC=intranet,DC=mct,DC=be




